Date;Adj Close;GDP;CPI;GOLD;SP500;TREAS;OIL;EURUSD;GAS;ELON;RUSSIA;CHINA;GBPUSD;CNYUSD
09-11-17;1.99077;19882.965;247.284;1289.2;2584.620117;2.33;64.49;1.159689;3.2;14;9;43;1.311303;0.150907
10-11-17;1.79684;19882.965;247.284;1275.9;2582.300049;2.4;64.35;1.164687;3.213;14;9;43;1.31444;0.150823
11-11-17;1.67047;19882.965;247.284;1275.9;2582.300049;2.4;64.35;1.164687;3.213;14;9;43;1.31444;0.150823
12-11-17;1.51969;19882.965;247.284;1275.9;2582.300049;2.4;64.35;1.164687;3.213;14;9;43;1.31444;0.150823
13-11-17;1.68662;19882.965;247.284;1280.6;2584.840088;2.4;62.94;1.166113;3.167;14;9;43;1.312026;0.150618
14-11-17;1.59258;19882.965;247.284;1284.6;2578.870117;2.38;60.91;1.166494;3.102;14;9;43;1.312336;0.150634
15-11-17;1.53045;19882.965;247.284;1279.4;2564.620117;2.33;61.25;1.179287;3.08;14;9;43;1.315789;0.150702
16-11-17;1.57792;19882.965;247.284;1279.9;2585.639893;2.37;61.18;1.179287;3.053;14;9;43;1.315789;1.315789
17-11-17;1.51036;19882.965;247.284;1298.2;2578.850098;2.35;61.34;1.177745;3.097;14;9;43;1.320045;0.150882
18-11-17;1.67433;19882.965;247.284;1298.2;2578.850098;2.35;61.34;1.177745;3.097;14;9;43;1.320045;0.150882
19-11-17;1.61377;19882.965;247.284;1298.2;2578.850098;2.35;61.34;1.177745;3.097;14;9;43;1.320045;0.150882
20-11-17;1.62445;19882.965;247.284;1277.1;2582.139893;2.37;61.34;1.173186;3.047;14;9;43;1.320271;0.150107
21-11-17;1.57406;19882.965;247.284;1283.5;2599.030029;2.36;62.28;1.174122;3.017;14;9;43;1.324503;0.15075
22-11-17;1.61175;19882.965;247.284;1294.1;2597.080078;2.32;62.92;1.173723;2.968;14;9;43;1.324556;0.150848
23-11-17;1.5487;19882.965;247.284;1294.1;2597.080078;2.32;63.27;1.181474;2.968;14;9;43;1.331682;0.151265
24-11-17;1.71771;19882.965;247.284;1289.2;2602.419922;2.34;63.58;1.185396;2.813;14;9;43;1.330672;0.1519
25-11-17;1.87387;19882.965;247.284;1289.2;2602.419922;2.34;63.58;1.185396;2.813;14;9;43;1.330672;0.1519
26-11-17;1.85313;19882.965;247.284;1289.2;2602.419922;2.34;63.58;1.185396;2.813;14;9;43;1.330672;0.1519
27-11-17;1.94298;19882.965;247.284;1296.2;2601.419922;2.32;63.25;1.192649;2.928;14;9;43;1.332445;0.151488
28-11-17;1.91711;19882.965;247.284;1296.6;2627.040039;2.34;63.56;1.19049;3.074;14;9;43;1.332232;0.151623
29-11-17;1.75153;19882.965;247.284;1283.7;2626.070068;2.37;63.74;1.184806;3.179;14;9;43;1.336541;0.1513
30-11-17;1.99697;19882.965;247.284;1274.8;2647.580078;2.42;63.53;1.185199;3.025;14;9;43;1.341724;0.151325
01-12-17;2.07023;19882.965;247.805;1280.2;2642.219971;2.37;64.57;1.189825;3.061;13;8;38;1.352997;0.151238
02-12-17;2.08416;19882.965;247.805;1280.2;2642.219971;2.37;64.57;1.189825;3.061;13;8;38;1.352997;0.151238
03-12-17;2.22725;19882.965;247.805;1280.2;2642.219971;2.37;64.57;1.189825;3.061;13;8;38;1.352997;0.151238
04-12-17;2.49168;19882.965;247.805;1275.5;2639.439941;2.37;63.45;1.185986;2.985;13;8;38;1.3494;0.150725
05-12-17;2.5953;19882.965;247.805;1263;2629.570068;2.36;63.45;1.186775;2.914;13;8;38;1.347527;0.151083
06-12-17;2.58769;19882.965;247.805;1264.3;2629.27002;2.33;62.25;1.183292;2.922;13;8;38;1.341526;0.15113
07-12-17;2.77995;19882.965;247.805;1251.4;2636.97998;2.37;62.37;1.180429;2.763;13;8;38;1.339226;0.151185
08-12-17;2.83067;19882.965;247.805;1246.5;2651.5;2.38;63.86;1.177218;2.772;13;8;38;1.348436;0.151103
